Rank;Country;LowerOrSingleHouse_Elections;LowerOrSingleHouse_Seats;LowerOrSingleHouse_Women;LowerOrSingleHouse_PercW;UpperOrSenate_Elections;UpperOrSenate_Seats;UpperOrSenate_Women;UpperOrSenate_PercW
190;Micronesia (Federated States of);2017-03-07;14;0;0.00;;;;
6;Grenada;2018-03-13;15;7;0.47;2018-04-27;13;4;0.31
143;Saint Kitts and Nevis;2015-02-16;15;2;0.13;;;;
176;Tuvalu;2015-03-31;15;1;0.07;;;;
150;Palau;2016-11-01;16;2;0.13;2016-11-01;13;2;0.15
124;Saint Lucia;2016-06-06;18;3;0.17;2012-01-05;11;3;0.27
159;Antigua and Barbuda;2018-03-21;18;2;0.11;2018-03-26;17;9;0.53
161;Nauru;2016-07-09;19;2;0.11;;;;
146;Saint Vincent and the Grenadines;2015-12-09;23;3;0.13;;;;
35;Monaco;2018-02-14;24;8;0.33;;;;
153;Liechtenstein;2017-02-05;25;3;0.12;;;;
173;Tonga;2017-11-16;27;2;0.07;;;;
38;Andorra;2015-03-01;28;9;0.32;;;;
101;Barbados;2018-05-24;30;6;0.20;2018-06-05;21;8;0.38
68;Dominica;2014-12-08;32;8;0.25;;;;
168;Belize;2015-11-04;32;3;0.09;2015-11-13;13;2;0.15
93;Seychelles;2016-09-08;33;7;0.21;;;;
169;Brunei Darussalam;2017-01-13;33;3;0.09;;;;
169;Marshall Islands;2015-11-16;33;3;0.09;;;;
178;Comoros;2015-01-25;33;2;0.06;;;;
147;Bahamas;2017-05-24;39;5;0.13;2017-05-24;16;7;0.44
84;United Arab Emirates;2015-10-03;40;9;0.23;;;;
132;Bahrain;2018-12-01;40;6;0.15;2018-12-09;40;9;0.23
166;Qatar;2013-07-01;41;4;0.10;;;;
44;Trinidad and Tobago;2015-09-07;42;13;0.31;2015-09-23;31;11;0.36
91;Bosnia and Herzegovina;2018-10-07;42;9;0.21;2015-01-29;15;2;0.13
177;Kiribati;2015-12-30;46;3;0.07;;;;
135;Bhutan;2018-10-18;47;7;0.15;2018-04-20;25;4;0.16
187;Solomon Islands;2014-11-19;49;1;0.02;;;;
165;Samoa;2016-03-04;50;5;0.10;;;;
52;Suriname;2015-05-24;51;15;0.29;;;;
106;Fiji;2018-11-14;51;10;0.20;;;;
190;Vanuatu;2016-01-22;52;0;0.00;;;;
139;Sao Tome and Principe;2018-10-07;55;8;0.15;;;;
116;Cyprus;2016-05-22;56;10;0.18;;;;
8;Costa Rica;2018-02-04;57;26;0.46;;;;
162;Gambia;2017-04-06;58;6;0.10;;;;
68;Luxembourg;2018-10-14;60;15;0.25;;;;
68;San Marino;2016-11-20;60;15;0.25;;;;
22;Iceland;2017-10-28;63;24;0.38;;;;
109;Tajikistan;2015-03-01;63;12;0.19;2015-03-27;32;7;0.22
118;Jamaica;2016-02-22;63;11;0.18;2016-03-10;21;5;0.24
167;Botswana;2014-10-24;63;6;0.10;;;;
15;Timor-Leste;2018-05-12;65;26;0.40;;;;
64;Djibouti;2018-02-23;65;17;0.26;;;;
185;Kuwait;2016-11-26;65;3;0.05;;;;
154;Malta;2017-06-03;67;8;0.12;;;;
40;Guyana;2015-05-11;69;22;0.32;;;;
155;Mauritius;2014-12-10;69;8;0.12;;;;
174;Eswatini;2018-09-21;69;5;0.07;2018-10-23;30;7;0.23
113;Panama;2014-05-04;71;13;0.18;;;;
76;Cabo Verde;2016-03-20;72;17;0.24;;;;
151;Liberia;2017-10-10;73;9;0.12;2014-12-20;30;3;0.10
120;Mongolia;2016-06-29;76;13;0.17;;;;
1;Rwanda;2018-09-03;80;49;0.61;2011-09-26;26;10;0.39
132;Paraguay;2018-04-22;80;12;0.15;2018-04-22;45;9;0.20
78;Montenegro;2016-10-16;81;19;0.24;;;;
174;Benin;2015-04-26;83;6;0.07;;;;
44;El Salvador;2018-03-04;84;26;0.31;;;;
183;Maldives;2014-03-22;85;4;0.05;;;;
188;Oman;2015-10-25;85;1;0.01;2015-11-07;85;14;0.17
73;Slovenia;2018-06-03;90;22;0.24;2017-11-22;40;4;0.10
126;Togo;2018-12-20;91;15;0.17;;;;
9;Nicaragua;2016-11-06;92;41;0.45;;;;
86;Uruguay;2014-10-26;99;22;0.22;2014-10-26;31;8;0.26
44;Latvia;2018-10-06;100;31;0.31;;;;
80;Singapore;2015-09-11;100;23;0.23;;;;
101;Equatorial Guinea;2017-11-12;100;20;0.20;2017-11-12;72;11;0.15
56;Estonia;2015-03-01;101;29;0.29;;;;
81;Republic of Moldova;2014-11-30;101;23;0.23;;;;
141;Guinea-Bissau;2014-04-13;102;14;0.14;;;;
7;Namibia;2014-11-29;104;48;0.46;2015-12-08;42;10;0.24
190;Papua New Guinea;2017-06-24;106;0;0.00;;;;
60;Kazakhstan;2016-03-20;107;29;0.27;2017-06-28;47;5;0.11
34;Belarus;2016-09-11;110;38;0.35;2012-08-30;56;17;0.30
81;Guinea;2013-09-28;114;26;0.23;;;;
186;Haiti;2015-08-09;118;3;0.03;2016-11-20;28;1;0.04
123;Azerbaijan;2015-11-01;119;20;0.17;;;;
15;New Zealand;2017-09-23;120;48;0.40;;;;
21;North Macedonia;2016-12-11;120;46;0.38;;;;
54;Israel;2015-03-17;120;35;0.29;;;;
79;Lesotho;2017-06-03;120;28;0.23;2017-07-11;32;7;0.22
107;Kyrgyzstan;2015-10-04;120;23;0.19;;;;
29;Burundi;2015-06-29;121;44;0.36;2015-07-24;39;18;0.46
68;Turkmenistan;2018-03-25;124;31;0.25;;;;
101;Cambodia;2018-07-29;125;25;0.20;2018-02-25;62;11;0.18
142;Burkina Faso;2015-11-29;127;17;0.13;;;;
94;Honduras;2017-11-26;128;27;0.21;;;;
183;Lebanon;2018-05-06;128;6;0.05;;;;
3;Bolivia;2014-10-12;130;69;0.53;2014-10-12;36;17;0.47
48;Peru;2016-04-10;130;39;0.30;;;;
131;Jordan;2016-09-20;130;20;0.15;2016-09-27;65;10;0.15
75;Armenia;2017-04-02;132;32;0.24;;;;
116;Gabon;2018-10-06;134;24;0.18;2014-12-13;102;18;0.18
23;Ecuador;2017-02-19;137;52;0.38;;;;
53;Albania;2017-06-25;140;41;0.29;;;;
172;Central African Republic;2016-02-14;140;12;0.09;;;;
92;Lithuania;2016-10-09;141;30;0.21;;;;
151;Sierra Leone;2018-03-07;146;18;0.12;;;;
171;Mali;2013-11-24;147;13;0.09;;;;
59;Lao People's Democratic Republic;2016-03-20;149;41;0.28;;;;
138;Georgia;2016-10-08;149;22;0.15;;;;
23;Belgium;2014-05-25;150;57;0.38;2014-07-03;60;26;0.43
