Rank;Country;Year;LowerOrSingleHouse_Seats;LowerOrSingleHouse_Women;LowerOrSingleHouse_PercW;UpperOrSenate_Seats;UpperOrSenate_Women;UpperOrSenate_PercW;Total_PercWomen
1;Rwanda;2019;80;49;0.613;26;10;0.385;0.557
2;Cuba;2019;605;322;0.532;0;0;0;0.532
3;Bolivia;2019;130;69;0.531;36;17;0.472;0.518
4;Mexico;2019;500;241;0.482;128;63;0.492;0.484
5;Grenada;2019;15;7;0.467;13;4;0.308;0.393
6;Namibia;2019;104;48;0.462;42;10;0.238;0.397
7;Sweden;2019;349;161;0.461;0;0;0;0.461
8;Nicaragua;2019;92;42;0.457;0;0;0;0.457
9;Costa Rica;2019;57;26;0.456;0;0;0;0.456
10;South Africa;2019;393;168;0.427;54;19;0.352;0.418
11;Finland;2019;200;84;0.42;0;0;0;0.420
12;Senegal;2019;165;69;0.418;0;0;0;0.418
13;Norway;2019;169;70;0.414;0;0;0;0.414
14;France;2019;576;228;0.396;348;102;0.293;0.357
14;Mozambique;2019;250;99;0.396;0;0;0;0.396
16;Spain;2019;350;137;0.391;266;101;0.38;0.386
17;Argentina;2019;257;100;0.389;72;30;0.417;0.395
18;Ethiopia;2019;547;212;0.388;153;49;0.32;0.373
19;New Zealand;2019;120;46;0.383;0;0;0;0.383
19;The F.Y.R. of Macedonia;2019;120;46;0.383;0;0;0;0.383
21;Iceland;2019;63;24;0.381;0;0;0;0.381
22;Belgium;2019;150;57;0.38;60;30;0.5;0.414
22;Ecuador;2019;137;52;0.38;0;0;0;0.380
24;Denmark;2019;179;67;0.374;0;0;0;0.374
25;United Republic of Tanzania;2019;390;145;0.372;0;0;0;0.372
26;Burundi;2019;121;44;0.364;39;18;0.462;0.388
27;Netherlands;2019;150;54;0.36;75;26;0.347;0.356
28;Italy;2019;630;225;0.357;320;113;0.353;0.356
29;Portugal;2019;230;80;0.348;0;0;0;0.348
30;Belarus;2019;110;38;0.345;56;17;0.304;0.331
31;Austria;2019;183;63;0.344;61;22;0.361;0.348
31;Serbia;2019;250;86;0.344;0;0;0;0.344
33;Uganda;2019;449;154;0.343;0;0;0;0.343
34;Timor-Leste;2019;65;22;0.338;0;0;0;0.338
35;Monaco;2019;24;8;0.333;0;0;0;0.333
36;Nepal;2019;275;90;0.327;59;22;0.373;0.335
37;Switzerland;2019;200;65;0.325;46;7;0.152;0.293
38;United Kingdom;2019;650;209;0.322;791;208;0.263;0.289
39;Andorra;2019;28;9;0.321;0;0;0;0.321
40;Guyana;2019;69;22;0.319;0;0;0;0.319
41;Zimbabwe;2019;270;85;0.315;80;35;0.438;0.343
42;Tunisia;2019;217;68;0.313;0;0;0;0.313
43;Cameroon;2019;180;56;0.311;100;26;0.26;0.293
44;El Salvador;2019;84;26;0.31;0;0;0;0.310
44;Latvia;2019;100;31;0.31;0;0;0;0.310
44;Trinidad and Tobago;2019;42;13;0.31;31;9;0.29;0.301
47;Germany;2019;709;218;0.307;69;27;0.391;0.315
48;Angola;2019;220;67;0.305;0;0;0;0.305
48;Sudan;2019;426;130;0.305;54;19;0.352;0.310
50;Philippines;2019;292;86;0.295;24;6;0.25;0.291
51;Australia;2019;150;43;0.287;76;31;0.408;0.327
52;South Sudan;2019;383;109;0.285;50;6;0.12;0.266
53;Poland;2019;460;129;0.28;100;14;0.14;0.255
54;Albania;2019;140;39;0.279;0;0;0;0.279
55;Peru;2019;130;36;0.277;0;0;0;0.277
56;Israel;2019;120;33;0.275;0;0;0;0.275
56;Lao People's Democratic Republic;2019;149;41;0.275;0;0;0;0.275
58;Kazakhstan;2019;107;29;0.271;47;5;0.106;0.221
59;Canada;2019;334;90;0.269;105;49;0.467;0.317
60;Dominican Republic;2019;190;51;0.268;32;3;0.094;0.243
61;Estonia;2019;101;27;0.267;0;0;0;0.267
61;San Marino;2019;60;16;0.267;0;0;0;0.267
61;Viet Nam;2019;494;132;0.267;0;0;0;0.267
64;Djibouti;2019;65;17;0.262;0;0;0;0.262
65;Algeria;2019;462;119;0.258;143;10;0.07;0.213
66;Suriname;2019;51;13;0.255;0;0;0;0.255
