Rank;Country;Year;LowerOrSingleHouse_Seats;LowerOrSingleHouse_Women;LowerOrSingleHouse_PercW;UpperOrSenate_Seats;UpperOrSenate_Women;UpperOrSenate_PercW;Total_PercWomen
1;Rwanda;2018;80;49;0.61;26;10;0.39;0.557
2;Bolivia;2018;130;69;0.53;36;17;0.47;0.518
3;Cuba;2018;612;299;0.49;0;0;0.00;0.489
4;Nicaragua;2018;92;42;0.46;0;0;0.00;0.457
5;Sweden;2018;349;152;0.44;0;0;0.00;0.436
6;Mexico;2018;500;213;0.43;128;47;0.37;0.414
7;Finland;2018;200;84;0.42;0;0;0.00;0.420
8;Senegal;2018;165;69;0.42;0;0;0.00;0.418
8;South Africa;2018;392;164;0.42;54;19;0.35;0.410
10;Norway;2018;169;70;0.41;0;0;0.00;0.414
11;Namibia;2018;104;43;0.41;42;10;0.24;0.363
12;Mozambique;2018;250;99;0.40;0;0;0.00;0.396
13;Spain;2018;350;137;0.39;266;101;0.38;0.386
14;France;2018;577;225;0.39;348;102;0.29;0.354
15;Ethiopia;2018;547;212;0.39;153;49;0.32;0.373
16;New Zealand;2018;120;46;0.38;0;0;0.00;0.383
17;Argentina;2018;257;98;0.38;72;30;0.42;0.389
17;Iceland;2018;63;24;0.38;0;0;0.00;0.381
19;Belgium;2018;150;57;0.38;60;30;0.50;0.414
19;Ecuador;2018;137;52;0.38;0;0;0.00;0.380
21;The F.Y.R. of Macedonia;2018;120;45;0.38;0;0;0.00;0.375
22;Denmark;2018;179;67;0.37;0;0;0.00;0.374
23;United Republic of Tanzania;2018;390;145;0.37;0;0;0.00;0.372
24;Slovenia;2018;90;33;0.37;39;4;0.10;0.287
25;Burundi;2018;121;44;0.36;43;18;0.42;0.378
26;Netherlands;2018;150;54;0.36;75;26;0.35;0.356
27;Costa Rica;2018;57;20;0.35;0;0;0.00;0.351
28;Portugal;2018;230;80;0.35;0;0;0.00;0.348
29;Belarus;2018;110;38;0.35;56;17;0.30;0.331
30;Austria;2018;183;63;0.34;61;19;0.31;0.336
30;Serbia;2018;250;86;0.34;0;0;0.00;0.344
32;Uganda;2018;449;154;0.34;0;0;0.00;0.343
33;Grenada;2018;15;5;0.33;13;2;0.15;0.250
34;Zimbabwe;2018;264;86;0.33;79;38;0.48;0.362
35;Switzerland;2018;200;65;0.33;46;7;0.15;0.293
36;Timor-Leste;2018;65;21;0.32;0;0;0.00;0.323
37;Andorra;2018;28;9;0.32;0;0;0.00;0.321
37;El Salvador;2018;84;27;0.32;0;0;0.00;0.321
39;United Kingdom;2018;650;208;0.32;805;207;0.26;0.285
40;Guyana;2018;69;22;0.32;0;0;0.00;0.319
41;Tunisia;2018;217;68;0.31;0;0;0.00;0.313
42;Cameroon;2018;180;56;0.31;100;20;0.20;0.271
43;Italy;2018;630;195;0.31;320;91;0.28;0.301
43;Trinidad and Tobago;2018;42;13;0.31;31;9;0.29;0.301
45;Germany;2018;709;218;0.31;69;27;0.39;0.315
46;Angola;2018;220;67;0.31;0;0;0.00;0.305
46;Sudan;2018;426;130;0.31;54;19;0.35;0.310
48;Nepal;2018;595;176;0.30;0;0;0.00;0.296
49;Philippines;2018;292;86;0.30;24;6;0.25;0.291
50;Australia;2018;150;43;0.29;76;31;0.41;0.327
51;South Sudan;2018;383;109;0.29;50;6;0.12;0.266
52;Luxembourg;2018;60;17;0.28;0;0;0.00;0.283
53;Poland;2018;460;129;0.28;100;14;0.14;0.255
54;Albania;2018;140;39;0.28;0;0;0.00;0.279
55;Afghanistan;2018;249;69;0.28;68;18;0.27;0.274
55;Peru;2018;130;36;0.28;0;0;0.00;0.277
57;Israel;2018;120;33;0.28;0;0;0.00;0.275
57;Lao People's Democratic Republic;2018;149;41;0.28;0;0;0.00;0.275
59;Kazakhstan;2018;107;29;0.27;47;5;0.11;0.221
60;Dominican Republic;2018;190;51;0.27;32;3;0.09;0.243
61;Estonia;2018;101;27;0.27;0;0;0.00;0.267
61;San Marino;2018;60;16;0.27;0;0;0.00;0.267
61;Viet Nam;2018;494;132;0.27;0;0;0.00;0.267
64;Canada;2018;335;88;0.26;100;43;0.43;0.301
65;Algeria;2018;462;119;0.26;143;10;0.07;0.213
65;Turkmenistan;2018;124;32;0.26;0;0;0.00;0.258
67;Suriname;2018;51;13;0.26;0;0;0.00;0.255
68;Iraq;2018;328;83;0.25;0;0;0.00;0.253
69;Mauritania;2018;147;37;0.25;0;0;0.00;0.252
70;Dominica;2018;32;8;0.25;0;0;0.00;0.250
71;Somalia;2018;275;67;0.24;54;13;0.24;0.243
72;China;2018;2924;709;0.24;0;0;0.00;0.242
73;Bulgaria;2018;240;57;0.24;0;0;0.00;0.238
74;Cabo Verde;2018;72;17;0.24;0;0;0.00;0.236
75;Montenegro;2018;81;19;0.24;0;0;0.00;0.235
76;Singapore;2018;100;23;0.23;0;0;0.00;0.230
77;Republic of Moldova;2018;101;23;0.23;0;0;0.00;0.228
78;United Arab Emirates;2018;40;9;0.23;0;0;0.00;0.225
79;Ireland;2018;158;35;0.22;60;18;0.30;0.243
79;Venezuela (Bolivarian Republic of);2018;167;37;0.22;0;0;0.00;0.222
81;Lesotho;2018;122;27;0.22;32;8;0.25;0.227
82;Czech Republic;2018;200;44;0.22;80;15;0.19;0.211
82;Eritrea;2018;150;33;0.22;0;0;0.00;0.220
84;Guinea;2018;114;25;0.22;0;0;0.00;0.219
85;Kenya;2018;349;76;0.22;68;21;0.31;0.233
86;Bosnia and Herzegovina;2018;42;9;0.21;15;2;0.13;0.193
87;Lithuania;2018;141;30;0.21;0;0;0.00;0.213
88;Seychelles;2018;33;7;0.21;0;0;0.00;0.212
89;Monaco;2018;24;5;0.21;0;0;0.00;0.208
90;Romania;2018;329;68;0.21;136;19;0.14;0.187
91;Pakistan;2018;340;70;0.21;104;19;0.18;0.200
92;Morocco;2018;395;81;0.21;120;14;0.12;0.184
93;Bangladesh;2018;350;71;0.20;0;0;0.00;0.203
93;Cambodia;2018;123;25;0.20;61;9;0.15;0.185
95;Uruguay;2018;99;20;0.20;31;9;0.29;0.223
96;Slovakia;2018;150;30;0.20;0;0;0.00;0.200
97;Saudi Arabia;2018;151;30;0.20;0;0;0.00;0.199
98;Indonesia;2018;560;111;0.20;0;0;0.00;0.198
99;United States of America;2018;434;84;0.19;100;21;0.21;0.197
100;Kyrgyzstan;2018;120;23;0.19;0;0;0.00;0.192
100;Madagascar;2018;151;29;0.19;63;13;0.21;0.196
102;Tajikistan;2018;63;12;0.19;32;7;0.22;0.200
103;Colombia;2018;166;31;0.19;102;22;0.22;0.198
104;Croatia;2018;151;28;0.19;0;0;0.00;0.185
105;Greece;2018;300;55;0.18;0;0;0.00;0.183
105;Panama;2018;71;13;0.18;0;0;0.00;0.183
107;Sao Tome and Principe;2018;55;10;0.18;0;0;0.00;0.182
108;Armenia;2018;105;19;0.18;0;0;0.00;0.181
109;Zambia;2018;167;30;0.18;0;0;0.00;0.180
110;Cyprus;2018;56;10;0.18;0;0;0.00;0.179
111;Togo;2018;91;16;0.18;0;0;0.00;0.176
112;Jamaica;2018;63;11;0.18;21;5;0.24;0.190
113;Gabon;2018;117;20;0.17;102;18;0.18;0.174
113;Mongolia;2018;76;13;0.17;0;0;0.00;0.171
115;Niger;2018;171;29;0.17;0;0;0.00;0.170
115;Republic of Korea;2018;300;51;0.17;0;0;0.00;0.170
117;Azerbaijan;2018;125;21;0.17;0;0;0.00;0.168
118;Barbados;2018;30;5;0.17;21;5;0.24;0.196
118;Malawi;2018;192;32;0.17;0;0;0.00;0.167
118;Saint Lucia;2018;18;3;0.17;11;3;0.27;0.207
121;Democratic People's Republic of Korea;2018;687;112;0.16;0;0;0.00;0.163
122;Fiji;2018;50;8;0.16;0;0;0.00;0.160
122;Georgia;2018;150;24;0.16;0;0;0.00;0.160
122;Latvia;2018;100;16;0.16;0;0;0.00;0.160
122;Libya;2018;188;30;0.16;0;0;0.00;0.160
122;Uzbekistan;2018;150;24;0.16;100;17;0.17;0.164
127;Russian Federation;2018;450;71;0.16;170;29;0.17;0.161
128;Jordan;2018;130;20;0.15;65;10;0.15;0.154
129;Egypt;2018;596;89;0.15;0;0;0.00;0.149
130;Turkey;2018;549;80;0.15;0;0;0.00;0.146
131;Paraguay;2018;80;11;0.14;45;9;0.20;0.160
132;Guinea-Bissau;2018;102;14;0.14;0;0;0.00;0.137
133;Saint Kitts and Nevis;2018;15;2;0.13;0;0;0.00;0.133
134;Syrian Arab Republic;2018;250;33;0.13;0;0;0.00;0.132
135;Saint Vincent and the Grenadines;2018;23;3;0.13;0;0;0.00;0.130
136;Bahamas;2018;39;5;0.13;16;7;0.44;0.218
136;Chad;2018;188;24;0.13;0;0;0.00;0.128
138;Ghana;2018;275;35;0.13;0;0;0.00;0.127
138;Guatemala;2018;158;20;0.13;0;0;0.00;0.127
140;Palau;2018;16;2;0.13;13;2;0.15;0.138
141;Sierra Leone;2018;121;15;0.12;0;0;0.00;0.124
142;Ukraine;2018;423;52;0.12;0;0;0.00;0.123
143;Liechtenstein;2018;25;3;0.12;0;0;0.00;0.120
144;Malta;2018;67;8;0.12;0;0;0.00;0.119
145;India;2018;542;64;0.12;244;27;0.11;0.116
146;Mauritius;2018;69;8;0.12;0;0;0.00;0.116
147;Congo;2018;151;17;0.11;71;14;0.20;0.140
148;Antigua and Barbuda;2018;18;2;0.11;17;5;0.29;0.200
149;Burkina Faso;2018;127;14;0.11;0;0;0.00;0.110
150;Djibouti;2018;65;7;0.11;0;0;0.00;0.108
151;Brazil;2018;513;55;0.11;81;12;0.15;0.113
152;Cote d'Ivoire;2018;255;27;0.11;0;0;0.00;0.106
153;Nauru;2018;19;2;0.11;0;0;0.00;0.105
154;Malaysia;2018;222;23;0.10;68;15;0.22;0.131
155;Gambia;2018;58;6;0.10;0;0;0.00;0.103
156;Myanmar;2018;433;44;0.10;221;23;0.10;0.102
157;Hungary;2018;199;20;0.10;0;0;0.00;0.101
157;Japan;2018;465;47;0.10;242;50;0.21;0.137
159;Samoa;2018;50;5;0.10;0;0;0.00;0.100
160;Liberia;2018;71;7;0.10;30;3;0.10;0.099
161;Qatar;2018;41;4;0.10;0;0;0.00;0.098
